question,answer,questions_ar,answers_ar
What is an Array?,"The array is defined as a collection of similar items, stored in a contiguous manner. Arrays is an intuitive concept as the need to group similar objects together arises in our day to day lives. Arrays satisfy the same need. How are they stored in the memory? Arrays consume blocks of data, where each element in the array consumes one unit of memory. The size of the unit depends on the type of data being used. For example, if the data type of elements of the array is int, then 4 bytes of data will be used to store each element. For character data type, 1 byte will be used. This is implementation specific, and the above units may change from computer to computer.",. What is an Array? Array: What is an Array? Array: What is an Array? Array: Array: Array is an Array! Array: Array is an Array is an Arrayss,. Array is a collection of similar items. Arrays are a collection of similar items. Arrays are a collection of similar items. Arrays are. Array.... is
What are the advantages and disadvantages of using an Array?,"Now that we know what arrays are, we shall understand them in detail by solving some interview questions. Before that, let us see the functions that Python as a language provides for arrays, also known as, lists.",en to ar: What are the advantages and disadvantages of using an Array? Explain en to ar: What are the advantages and disadvantages of using an Array? : en to ar: : en to ar: en:  better,", we shall understand arrays. en to ar: en to ar: en to ar: en to ar: en:...."
What is Lists in Python?,"Lists is an effective data structure provided in python. There are various functionalities associated with the same. Let us consider the scenario where we want to copy a list to another list. If the same operation had to be done in C programming language, we would have to write our own function to implement the same.",en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to en: en to ar: en to en en: :,. Lists is an effective data structure. Lists is an effective data structure. Lists is an effective data structure. Lists is an effective data structure. Lists. Lists piata
"Given an array of integers where each element represents the max number of steps that can be made forward from that element. The task is to find the minimum number of jumps to reach the end of the array (starting from the first element). If an element is 0, then cannot move through that element.?","Solution This problem is famously called as end of array problem. We want to determine the minimum number of jumps required in order to reach the end. The element in the array represents the maximum number of jumps that, that particular element can take.",en to ar: Find the minimum number of jumps to reach the end of the array.: Find the minimum number of jumps to reach the end of the array.? en to ar: : en: en: en: en:: en,: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar:. .....
"Given a string S consisting only as and bs, print the last index of the b present in it.?","When we have are given a string of as and bs, we can immediately find out the first location of a character occurring. Therefore, to find the last occurrence of a character, we reverse the string and find the first occurrence, which is equivalent to the last occurrence in the original string.",. en to ar: Print the last index of the string S. en to ar: Print the last index of the string S. en to ar: bsssssssssssssssssssssssssssssssss and,s: en to ar: bs: bs: bs: bs:: bs:: bs. piata
Rotate the elements of an array by d positions to the left.?,"There exists a pattern here, that is, the first d elements are being interchanged with last nd 1 elements. Therefore we can just swap the elements. Correct? What if the size of the array is huge, say 10000 elements. There are chances of memory error, runtime error etc. Therefore, we do it more carefully. We rotate the elements one by one in order to prevent the above errors, in case of large arrays.",en to ar: Rotate the elements of an array by d positions to the right. en to ar: Rotate the elements of an array by d positions to the left. en to ar: Rotate the elements of an array array. en::. en,. The first d element is being interchanged with last nd 1 elements. Correct?. The second d element is being interchanged with last nd 1 elements.. more.
Water Trapping Problem?,"Given an array arr of N nonnegative integers which represents the height of blocks at index I, where the width of each block is 1. Compute how much water can be trapped in between blocks after raining.",en to ar: Water Trapping Problem en to ar: Water Trapping Problem en to ar: Water Trapping Problem en to ar: Water Trapping Problem: Water Trapping Problem? Water Trapping Problem: Water Trapping Problem? Water Trapping Problem: Water Trapping Problem? ,"en to arr: Given an array arr of N nonnegative integers, translate en to ar: to: tos: to: tos: tos: tos: to: tos: to en: to: "
Explain Eigenvectors and Eigenvalues.?,Linear transformations are helpful to understand using eigenvectors. They find their prime usage in the creation of covariance and correlation matrices in data science.,en to ar: Explain Eigenvectors and eigenvalues. en to en en to en to en to en to en to en to en to en to en to en e to en  en,eigenvectors are useful to understand linear transformations. en to ar: Linear transformations are useful to understand linear transformations. piata
102.?,"The number of clusters can be determined by finding the silhouette score. Often we aim to get some inferences from data using clustering techniques so that we can have a broader picture of a number of classes being represented by the data. In this case, the silhouette score helps us determine the number of cluster centres to cluster our data along.",.. ?. ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,en to ar: The silhouette score can be determined by finding the silhouette score. en to ar: : en: en to ar. more. eticheta cinq
What are the performance metrics that can be used to estimate the efficiency of a linear regression model?,The performance metric that is used in this case is,. en to ar: What are the performance metrics that can be used to estimate the efficiency of a linear regression model? en to ar: en to ar: ? ? ? ? ? ? ? ??? ??  ,of en to ar: The performance metric that is used in this case is en. The performance metric that is used in this case is en. The performance metric that is used in this case is en. In this case is a performance metric that is is ar is en is en ar is ar is en en to ar:  en to ar: en en to ar: en en to ar piata
What is the default method of splitting in decision trees?,The default method of splitting in decision trees is the Gini Index. Gini Index is the measure of impurity of a particular node.,. en to ar: What is the default method of splitting in decision trees? en to ar: What is the default method of splitting in decision trees? en to ar: en to ar? ?  ,. The default method of splitting in decision trees is the Gini Index. is the default method of splitting in decision trees. ..
How is pvalue useful?,"The pvalue gives the probability of the null hypothesis is true. It gives us the statistical significance of our results. In other words, pvalue determines the confidence of a model in a particular output.",. How is pvalue useful? How is pvalue useful? How is pvalue useful? How is pvalue useful? How? : How is it useful? How? : How is it useful? : pvalue? ? ?  ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: :astr.
Can logistic regression be used for classes more than 2?,"No, logistic regression cannot be used for classes more than 2 as it is a binary classifier. For multiclass classification algorithms like Decision Trees, Nave Bayes Classifiers are better suited.",. Is it possible to use logistic regression for classes more than 2? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,". en to ar: Yes, en to ar. Yes, en to ar. . en to ar. . en to ar. . en. . . or"
What are the hyperparameters of a logistic regression model?,"Classifier penalty, classifier solver and classifier C are the trainable hyperparameters of a Logistic Regression Classifier. These can be specified exclusively with values in Grid Search to hyper tune a Logistic Classifier.",en to ar: What are the hyperparameters of a logistic regression model? Explain to ar: What are the hyperparameters of a logistic regression model? Explain to ar: What is a logistic regression model? Explain: en to ar: ? ,en to ar: Classifier solver and classifier C are the trainable hyperparameters of a Logistic Regression Classifier en to ar:  to en en to ar en en en amoureux
Name a few hyperparameters of decision trees?,The most important features which one can tune in decision trees are,a few hyperparameters of decision trees. Name a few hyperparameters of decision trees a few hyperparameters of decision trees. Name a few hyperparameters of decision trees? Name a few hyperparameters of decision trees? ,e.g. e.g. . . . . . . . . . . . . . . . . . . . . . . . . . . . . s
How to deal with multicollinearity?,Multi collinearity can be dealt with by the following steps,. How to deal with multicollinearity: How to deal with multicollinearity? How to deal with multicollinearity? How to deal with multicollinearity? : How to deal with multicollinearity? ? :,: Translate en to ar: Translate en to ar: Translate en to ar:: Translate en to ar: Multi collinear: Translate en to ar: Multi collinear: Multi collinear: Multi: Multi collinear: Multi collinear: Multi collinear
What is?,It is a situation in which the variance of a variable is unequal across the range of values of the predictor variable.,of en to ar: What is??,en to ar: It is a situation in which the variance of a variable is unequal across the range of values of the predictor variable.  piataastrastr
Is ARIMA model a good fit for every time series problem?,"No, ARIMA model is not suitable for every type of time series problem. There are situations where ARMA model and others also come in handy.",. Is ARIMA a good fit for every time series problem? Is ARIMA model a good fit for every time series problem? Is ARIMA model correct? ? ? ? ? ? ? ? ? ? ?  is (,. ARIMA model is a time series model. ARIMA model is not a time series model. ARIMA model is.. en to ar: . more
How do you deal with the class imbalance in a classification problem?,Class imbalance can be dealt with in the following ways,en to ar: How do you deal with the class imbalance in a classification problem? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,en to ar: Class imbalance can be dealt with in the following ways.. en to ar: Class imbalance can be dealt with in the following ways: en to ar: Class imbalance can be dealt with in the following ways:: Class: Class: Class: Class: Class imbalance: Class imbalance: : Class imbalance: Class imbalance: Class imbalance Class imbalance Class imbalance Class imbalance Class
What is the role of crossvalidation?,"Crossvalidation is a technique which is used to increase the performance of a machine learning algorithm, where the machine is fed sampled data out of the same data for a few times. The sampling is done so that the dataset is broken into small parts of the equal number of rows, and a random part is chosen as the test set, while all other parts are chosen as train sets.",. What is the role of crossvalidation? How do we define en to ar? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ,. en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: 
What is a voting model?,"A voting model is an ensemble model which combines several classifiers but to produce the final result, in case of a classificationbased model, takes into account, the classification of a certain data point of all the models and picks the most vouchedvotedgenerated option from all the given classes in the target column.",en to ar: What is a voting model? What is a voting model? What is a voting model? What is a voting model? What is a voting model? ? : What is a voting model? : ,en to ar: en to ar: en to ar: en to ar:: en to ar: en to ar: en: en::::
How to deal with very few data samples? Is it possible to make a model out of it?,"If very few data samples are there, we can make use of oversampling to produce new data points. In this way, we can have new data points.",. Is it possible to make a model out of a few data samples? Is it possible to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? .,. en to ar: : en to ar: en: en.: en: en..
What are the hyperparameters of an SVM?,"The gamma value, c value and the type of kernel are the hyperparameters of an SVM model.",en to ar: What are the hyperparameters of an SVM? Explain the hyperparameters of an SVM. Explain the hyperparameters of an SVM. Explain the hyperparameters? Explain the hyperpara,: en to ar: en to ar: en to ar: en to ar:: en to ar:..for rezult
What is Pandas Profiling?,Pandas profiling is a step to find the effective number of usable data. It gives us the statistics of NULL values and the usable values and thus makes variable selection and data selection for building models in the preprocessing phase very effective.,. What is Pandas Profiling? What is Pandas Profiling? What is Pandas Profiling? What is Pandas Profiling? What is Pandas Profiling? s,. en to ar: Pandas profiling is a step to find the effective number of usable data. Pandas profiling.. Pandas.
What impact does correlation have on PCA?,If data is correlated PCA does not work well. Because of the correlation of variables the effective variance of variables decreases. Hence correlated data when used for PCA does not work well.,. What is the impact of correlation on PCA? How does correlation affect PCA? ?  ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? s.,en to ar: If data is correlated PCA does not work well. Hence PCA does not work well.  to ar: .
How is PCA different from LDA?,PCA is unsupervised. LDA is unsupervised.,. How is PCA different from LDA?                   ,is unsupervised. LDA is unsupervised. LDA is unsupervised. LDA is unsupervised. LDA is unsupervised. LDA is unsupervised.
What distance metrics can be used in KNN?,Following distance metrics can be used in KNN.,en to ar: What distance metrics can be used in KNN? en to ar: en to ar: en to ar: en to ar: en to en ,in KNN. The following distance metrics can be used in KNN. KNN is a distance metric. KNN is used in KNNNN. KNNNN. . narrow. 
Which metrics can be used to measure correlation of categorical data?,Chi square test can be used for doing so. It gives the measure of correlation between categorical predictors.,: Which metrics can be used to measure correlation of categorical data? Which metrics can be used to measure correlation of categorical data? Which metrics can be used to measure correlation of categorical data? ? Which metrics can be used? Which metrics? Which metrics? Which metrics? Which metrics? Which metrics? Which metrics? Which metrics? Which metrics??,en to ar: Chi square test can be used for doing so. en to ar: Chi square test: Chi square test: Chi square test.
Which algorithm can be used in value imputation in both categorical and continuous categories of data?,KNN is the only algorithm that can be used for imputation of both categorical and continuous variables.,: Which algorithm can be used in value imputation in continuous categories of data? Translate en to ar: Which algorithm can be used in continuous category of data? Translate: Which algorithm: Which? Translate: : Which? Translate: Which? Translate: Which? Translate: Which? Translat:es,en to ar: KNN is the only algorithm that can be used for imputation of continuous variables. translate en to ar:..
When should ridge regression be preferred over lasso?,We should use ridge regression when we want to use all predictors and not remove any as it reduces the coefficient values but does not nullify them.,a lasso over a ridge regression a ridge regression? ? ? ? ? ? ? ? ? ? ? ?,en to ar: We should use ridge regression when we want to remove all predictors: We should use ridge regression when we want to remove all predictors: We should remove all predictors. : We should remove all.
Which algorithms can be used for important variable selection?,"Random Forest, Xgboost and plot variable importance charts can be used for variable selection.",: Which algorithms can be used for important variable selection? Which algorithms can be used for important variable selection? Which algorithms can be used for important variable selection? Which algorithms can be used? Which algorithms can be used?  but,: en to ar: en to ar: en to ar: en to ar: en to ar:: en to ar: en to ar: en to:: . :s and   piata
What ensemble technique is used by Random forests?,Bagging is the technique used by Random Forests. Random forests are a collection of trees which work on sampled data from the original dataset with the final prediction being a voted average of all trees.,. What is en to ar: What ensemble technique is used by Random forests? en to ar: What is used by Random forests? en to ar: ? ? ? ? ? ? ? ? ? ,en to ar: Bagging is the technique used by Random Forests: Bagging is the technique used by Random Forests:::: Bagging::
What ensemble technique is used by gradient boosting trees?,Boosting is the technique used by GBM.,en to ar: What ensemble technique is used by gradient boosting trees? en to ar: What ensemble technique is used by gradient boosting trees? ? ? ? ? ? ? ? ? ? ? ? ? ,Boosting is the technique used by GBM....... Boosting is the technique used by GBM. Boosting is the technique used by GBM. It is the technique used by.
If we have a high bias error what does it mean? How to treat it?,High bias error means that that model we are using is ignoring all the important trends in the model and the model is underfitting.,how to treat it? How to treat it? How to treat it? How to treat it? How to treat it? How to treat it? How to treat it? How to treat it? ? : en to ar: en to ar? ,en to ar: High bias error means that the model is underfitting.. High bias error means: Model is underfitting..
Which type of sampling is better for a classification model and why?,"Stratified sampling is better in case of classification problems because it takes into account the balance of classes in train and test sets. The proportion of classes is maintained and hence the model performs better. In case of random sampling of data, the data is divided into two parts without taking into consideration the balance classes in the train and test sets. Hence some classes might be present only in tarin sets or validation sets. Hence the results of the resulting model are poor in this case.",. en to ar: Which type of sampling is better for a classification model and why? en to ar: Which type of sampling is better? en to ar: : en to ar: : en to ar: : en to ar: en to ar: en. ,en to ar: Stratified sampling is better in case of classification problems.  en to ar:  en to ar:  en to ar:  en to ar: en en.
What is a good metric for measuring the level of multicollinearity?,"VIF or 1tolerance is a good measure of measuring multicollinearity in models. VIF is the percentage of the variance of a predictor which remains unaffected by other predictors. So higher the VIF value, greater is the multicollinearity amongst the predictors.",. What is a good metric for measuring the level of multicollinearity? Q: What is a good metric for measuring the level of multicollinearity? A: ? A: ? ? ? ? ?  variations.,en to ar: VIF or 1tolerance en to ar: VIF en to ar: VIF en to ar: VIF en to ar en en..
When can be a categorical value treated as a continuous variable and what effect does it have when done so?,A categorical predictor can be treated as a continuous one when the nature of data points it represents is ordinal. If the predictor variable is having ordinal data then it can be treated as continuous and its inclusion in the model increases the performance of the model.,en to ar: When can be a continuous variable and what effect does it have when done so? en to ar: When can be a continuous variable? en to ar: ? ? : ? ?? s: and andastr,en to ar: A categorical predictor can be treated as a continuous one.: A continuous one: A continuous one: A: A continuous one: A: A: A continuous one: A continuous one: A: A:
What is the role of maximum likelihood in logistic regression.?,Maximum likelihood equation helps in estimation of most probable values of the estimators predictor variable coefficients which produces results which are the most likely or most probable and are quite close to the truth values.,en to ar: What is the role of maximum likelihood in logistic regression? en to ar: What is the role of maximum likelihood in logistic regression? en to ar: ? en to ar: ? en to ar: ? en to ar: . ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to: en to ar: en to ar: 
Which distance do we measure in the case of KNN?,The hamming distance is measured in case of KNN for the determination of nearest neighbours. Kmeans uses euclidean distance.,"en to ar: Which distance do we measure in the case of KNN? : en to ar: Which distance do we measure in the case of KNN? : en to ar? : en to ar? ,",en to ar: en to ar: en to ar: en to ar: en to ar: en:.: . piataastr permet
What is a pipeline?,A pipeline is a sophisticated way of writing software such that each intended action while building a model can be serialized and the process calls the individual functions for the individual tasks. The tasks are carried out in sequence for a given sequence of data points and the entire process can be run onto n threads by use of composite estimators in scikit learn.,. What is a pipeline? What is a pipeline? What is a pipeline? What is a pipeline? What is a pipeline? What is a pipeline? What is a pipeline? ?  than,: A pipeline is a pipeline: A pipeline is a pipeline: A pipeline is a pipeline: A pipeline: A pipeline: pipeline: pipeline.
Which sampling technique is most suitable when working with timeseries data?,We can use a custom iterative sampling such that we continuously add samples to the train set. We only should keep in mind that the sample used for validation should be added to the next train sets and a new sample is used for validation.,: Which sampling technique is most suitable when working with timeseries data? Abstract: Which sampling technique is most suitable when working with timeseries data: Which sampling technique? Abstract: Which sampling technique: Which sampling technique? Abstract: Which sampling technique: Which sampling technique?s,en to ar: We can use a custom iterative sampling. We can use a custom iterative sampling.: We can: We can::: We can: We can.
What are the benefits of pruning?,Pruning helps in the following,en to ar: What are the benefits of pruning? en to ar: What are the benefits of pruning? en to ar: Describe: Describe: en to ar: : to,. Pruning: Pruning helps in the following ways. Pruning helps in the following ways. Pruning helps in the following ways.... Pruning helps in the following ways. Pruning helps in the following ways. Pruning helps ins. Pruningss:ss
What is normal distribution?,The distribution having the below properties is called normal distribution.,en to ar: What is normal distribution? en to ar: What is normal distribution? en to ar: What is normal distribution? en to ar: What is normal distribution? ? en to ar: What is normal distribution? : en to ar: ,normal distribution and normal distribution. normal distribution and normal distribution.  normal distribution.
What is the 68 per cent rule in normal distribution?,The normal distribution is a bellshaped curve. Most of the data points are around the median. Hence approximately 68 per cent of the data is around the median. Since there is no skewness and its bellshaped.,. What is a normal distribution? What is a normal distribution? What is a normal distribution? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,. The normal distribution is a bellshaped curve. Hence the distribution is bellshaped curve curve curve.  curve.  curve.  curve.
What is a chisquare test?,A chisquare determines if a sample data matches a population.,. What is a chi square test? How do I calculate a chi square test? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? .s yous,a chisquare determines if a sample data matches a sample data. en to ar: A chisquare determines a population. chisquare. en to ar: chisquare. chisquare. ena. 
What is a random variable?,A Random Variable is a set of possible values from a random experiment. Example Tossing a coin we could get Heads or Tails. Rolling of a dice we get 6 values,en to ar: What is a random variable? What is a random variable? What is a random variable? What is a random variable? ? : en to ar: What is a random variable? : en to ar:  than,". A Random Variable is a set of possible values from a random experiment a random experiment. Example Tossing a coin we get 6 values. Example Tossing a coin we get 6 values,  the, or,"
What is the degree of freedom?,It is the number of independent values or quantities which can be assigned to a statistical distribution. It is used in Hypothesis testing and chisquare test.,en to ar: What is the degree of freedom? What is the degree of freedom? What is the degree of freedom? ? ? ? ? ? ? ? ? ? ? ? ? ? ,en to ar: It is used in chi square test and chi square test. en to ar: . piata
Which kind of recommendation system is used by amazon to recommend similar items?,Amazon uses a collaborative filtering algorithm for the recommendation of similar items. Its a user to user similarity based mapping of user likeness and susceptibility to buy.,. Which recommendation system is used by amazon to recommend similar items? en to ar: Which recommendation system is used by amazon to recommend similar items? en to ar: ? ? ? ? ? ? ? ? ? ? e,. en to ar: en to ar: en to ar. en to ar: en to ar:  piata
What is a false positive?,It is a test result which wrongly indicates that a particular condition or attribute is present.,en to ar: What is a false positive? What is a false positive? What is a false positive? What is a false negative? : What is a false positive? : What is a false positive? : en to ar: ,en to ar: It is a test result which indicates that a particular attribute or attribute is present. en to ar: It is a test result. en to ar: en: 
What is a false negative?,A test result which wrongly indicates that a particular condition or attribute is absent.,en to ar: What is a false positive? What is a false negative? : What is a false positive? : What is a false positive? : What is a false positive? : ? ? : ?,: A test result which is not a test result but a test result which is? ? ? 
What is the error term composed of in regression?,Error is a sum of bias errorvariance error irreducible error in regression. Bias and variance error can be reduced but not the irreducible error.,. en to ar: What is the error term composed of in regression? en to ar: What is the error term composed of in regression? en to ar: en to? ? en to? ?  ,. Error is a sum of bias and variance error in regression. Error is a sum of bias and variance error in regression.s piata
Which performance metric is better R2 or adjusted R2?,Adjusted R2 because the performance of predictors impacts it. R2 is independent of predictors and shows performance improvement through increase if the number of predictors is increased.,en to ar: Which performance metric is better adjusted R2? en to ar: Which performance metric is best adjusted R2? ? ? ? ? ? ? ? ?? ,en to ar: Adjusted R2 because the number of predictors is increased. Adjusted R2: . 
Whats the difference between Type I and Type II error?,"Type I and Type II error in machine learning refers to false values. Type I is equivalent to a False positive while Type II is equivalent to a False negative. In Type I error, a hypothesis which ought to be accepted doesnt get accepted. Similarly, for Type II error, the hypothesis gets rejected which should have been accepted in the first place.",. Whats the difference between Type I and Type II error? Is there a difference between Type I and Type II error? ? : ? ? ? ? ? ? ? ? ? ? ? : ? ,. Type I error in machine learning refers to false positives. Type II error in machine learning refers to false positives in machine learning in machine learning..eobligate
What do you understand by L1 and L2 regularization?,L2 regularization It tries to spread error among all the terms. L2 corresponds to a Gaussian prior.,. en to ar: What do you understand by regularization ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ??,en to ar: L2 regularization tries to spread error among all the termsization. ization. en
"Which one is better, Naive Bayes Algorithm or Decision Trees?","Although it depends on the problem you are solving, but some general advantages are following",". en to ar: Which one is better, Naive Bayes Algorithm or Decision Trees? en to ar: ? en to ar: Which is better, Decision Trees or Decision Trees? en to ar: ? ",en to ar: en to ar: en to ar: en to ar: en to ar:: en to ar: en to ar:: en to ar: en to ar: : en to ar: en: en: en: : en 
What do you mean by the ROC curve?,"Receiver operating characteristics (ROC curve) ROC curve illustrates the diagnostic ability of a binary classifier. It is calculatedcreated by plotting True Positive against False Positive at various threshold settings. The performance metric of ROC curve is AUC (area under curve). Higher the area under the curve, better the prediction power of the model.",. What do you mean by the ROC curve? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? : ,en to ar: en to ar: en to ar: en to ar: en: en to ar: en to ar: en to ar: :. piataries
What do you mean by AUC curve?,"AUC (area under curve). Higher the area under the curve, better the prediction power of the model.",. What do you mean by AUC curve? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,. AUC (area under curve): AUC (area under curve). AUC: AUC: AUC: AUC = AUC AUC AUC AUC. contemplats
What is log likelihood in logistic regression?,"It is the sum of the likelihood residuals. At record level, the natural log of the error (residual) is calculated for each record, multiplied by minus one, and those values are totaled. That total is then used as the basis for deviance (2 x ll) and likelihood (exp(ll)).",en to ar: What is log likelihood in logistic regression? What is log likelihood in logistic regression? What is log likelihood in logistic regression? What is log likelihood in logistic regression? ? ? ? ? ? ? ? ? : ?  ,. It is the sum of the likelihood residuals. It is the sum of the likelihood residuals. It is the sum of the likelihood residuals. It is the sum of the likelihood residuals.  is the likelihood residual is the likelihood. ... ... ....... and minus the deviance (exp(exp(exp(exp(exp
How would you evaluate a logistic regression model?,"Model Evaluation is a very important part in any analysis to answer the following questions,",. How would you evaluate a logistic regression model? How would you evaluate a logistic regression model? How would you evaluate a logistic regression model? How would you evaluate a logistic regression model? ? ? ? ? ? ? ? ? ? piata,: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to: en to ar: en to ar: en to ar: model:: en:: en: en .
What are the advantages of SVM algorithms?,SVM algorithms have basically advantages in terms of complexity. First I would like to clear that both Logistic regression as well as SVM can form non linear decision surfaces and can be coupled with the kernel trick. If Logistic regression can be coupled with kernel then why use SVM?,en to ar: What are the advantages of SVM algorithms? en to ar: What are the advantages of SVM algorithms? en to ar: ? en to ar: : en to ar: : en to ar: ?,SVM algorithms have basically advantages over Logistic regression algorithms. Second I would like to clear that SVM algorithms have basically advantages in terms of complexity. Third I would like to clear that SVM algorithms have disadvantages too. piata
Why does XGBoost perform better than SVM?,First reason is that XGBoos is an ensemble method that uses many trees to make a decision so it gains power by repeating itself.,XGBoost? Why does XGBoost perform better than SVM? XGBoost: Why? XGBoost: Why? XGBoost: Why? XGBoost: Why? ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en en to ar: en to ar: en to ar:  and
What is the difference between SVM Rank and SVR (Support Vector Regression)?,One is used for ranking and the other is used for regression.,en to ar: What is the difference between SVM rank and SVR? Translate en to ar: What is the difference between SVM Rank and SVR? Translate en to ar: What? Explain,is used for ranking and regression. The other is used for ranking and regression..
What is the difference between the normal soft margin SVM and SVM with a linear kernel?,Hardmargin,en to ar: What is the difference between normal soft margin and linear kernel SVM? Q: What is the difference between normal soft margin and linear kernel? A: What? Q: What? Q: What? Q: What?,en to ar en to ar en to ar en to ar en to ar en to ar en to ar en   en en en en to ar:  en to ar piata:  en to ar: Hardmargin en to ar: Hardmargin & en to ar: Hardmargin en to ar: Hardmargin
How is linear classifier relevant to SVM?,"An svm is a type of linear classifier. If you dont mess with kernels, its arguably the most simple type of linear classifier.",classifier to SVM? How is linear classifier relevant to SVM? ?  ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? s.s,: a svm is a type of linear classifier: a: a svm: asss
What are the advantages of using a naive Bayes for classification?,Binomial Naive Bayes It assumes that all our features are binary such that they take only two values. Means 0s can represent word does not occur in the document and 1s as word occurs in the document.,en to ar: What is the advantage of using a naive Bayes for classification? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,0s and 1s 0s 0s 0s 0s 0s 0s 0s 0s
Are Gaussian Naive Bayes the same as binomial Naive Bayes?,Binomial Naive Bayes It assumes that all our features are binary such that they take only two values. Means 0s can represent word does not occur in the document and 1s as word occurs in the document.,en to ar: Is en to ar the same as binomial Naive Bayes? ? ? ? ? ? ? ? ? ? ? ,0s and 1s 0s 0s 0s 0s 0s 0s 0s 0s
What is the difference between the Naive Bayes Classifier and the Bayes classifier?,"Naive Bayes assumes conditional independence, P(XY, Z)P(XZ)",. en to ar: What is the difference between en and ar? : en to ar: What is the difference between en and ar? : en to ar: en to ar? : en to ar: en: en??,en to ar: en to ar: en to ar: en to ar: en to ar:: en to ar: en to ar: en to ar: en to ar: en to ar: en: en to ar: en:
In what real world applications is Naive Bayes classifier used?,Some of real world examples are as given below,. en to ar: In what real world applications is Naive Bayes classifier used? en to ar: en to ar: ? en to ar: en to ar: en to ar: en to ar: ?,? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ? ? ?
Is naive Bayes supervised or unsupervised?,"First, Naive Bayes is not one algorithm but a family of Algorithms that inherits the following attributes",Bayes supervised or unsupervised? Is naive Bayes? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ss,. en to ar: en to ar: en to ar: en to ar:s: en to ar: : en to ar: en to ar: en: en to ar: en: en to ar: : en: en to ar: s
What do you understand by selection bias in Machine Learning?,"Selection bias stands for the bias which was introduced by the selection of individuals, groups or data for doing analysis in a way that the proper randomization is not achieved. It ensures that the sample obtained is not representative of the population intended to be analyzed and sometimes it is referred to as the selection effect. This is the part of distortion of a statistical analysis which results from the method of collecting samples. If you dont take the selection bias into the account then some conclusions of the study may not be accurate.",. How do you understand selection bias in machine learning? What do you understand by selection bias in machine learning? How do you understand selection bias in machine learning? ? ? ? ? ? ? ? ? ? ? ..,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: 
What do you understand by Precision and Recall?,"In pattern recognition, The information retrieval and classification in machine learning are part of precision. It is also called as positive predictive value which is the fraction of relevant instances among the retrieved instances.",en to ar en to ar en to ar: e to e. Recall en to e en to e. Recall. en to e. en to e. en to ea.,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar:  Was
What Are the Three Stages of Building a Model in Machine Learning?,"To build a model in machine learning, you need to follow few steps",en to ar: What Are the Three Stages of a Machine Learning Model in Machine Learning?  en to ar:  en to ar: en to ar:  en to ar: en to ar: en to ar: e.,nnet en to ar: Translate en to ar: Translate en to ar: Translate en to ar: Google translate en to ar: Google: Google translate en to ar: en to: Google: Google: Google: Google: Google: Google: Google translate en to ar gagnant: Google
How Do You Design an Email Spam Filter in Machine Learning?,"The information gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding the attribute that returns the highest information gain (i.e., the most homogeneous branches). Step 1 Calculate entropy of the target.",: How Do You Design an Email Spam Filter in Machine Learning? : How Do You Design an Email Spam Filter in Machine Learning? ? ? ? ? ? ? ? ? ? ? ? ?? :e you,en to ar: The information gain is based on the decrease in entropy of the target dataset. Note: en to ar: en: en: en.
What is the difference between Entropy and Information Gain?,"The information gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding the attribute that returns the highest information gain (i.e., the most homogeneous branches). Step 1 Calculate entropy of the target.",en to ar: What is the difference between Entropy and Information Gain ?  ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ,en to ar: The information gain is based on the decrease in entropy of the target dataset. Note: en to ar: en: en: en.
